Name;Mass (MJ);Radius (RJ);Period (days);Semi-major axis (AU);Discovery method;Disc. Year;Distance (ly);Host star mass (Ms);Host star temp. (K)
KELT-16b;2.75;1.415;0.9689951;0.02044;transit;2017;1289.2;1.21;6236
LHS 1140 b;0.0209;0.128;24.73712;0.0875;transit;2017;40.7;0.15;3131
MASCARA-1b;3.7;1.5;2.14878;0.043;transit;2017;615.5;1.72;7554
TRAPPIST-1e;0.00195;0.082;6.099615;0.02817;transit;2017;39;0.08;2559
TRAPPIST-1f;0.00214;0.093;9.20669;0.0371;transit;2017;39;0.08;2559
TRAPPIST-1g;0.00422;0.101;12.35294;0.0451;transit;2017;39;0.08;2559
WASP-91b;1.34;1.03;2.798581;0.037;transit;2017;490;0.84;4920
WASP-151b;0.31;1.13;4.533471;0.055;transit;2017;1570;1.01;5871
WASP-153b;0.39;1.55;3.332609;0.048;transit;2017;1400;1.34;5914
WASP-156b;0.128;0.51;3.836169;0.0453;transit;2017;460;0.84;4910
